,Brand,Make_Year,Fuel,KMs_Driven,Engine_Displacement,No_Of_Owner,Transmission,Mileage,Max_Power,Torque,Seats,Color,Gear_Box,Drive_Type,Steering_Type,Front_Brake_Type,Rear_Brake_Type,Acceleration,Price
1419,Maruti Ertiga VDI,2014,Diesel,84372,1248,First ,Manual,20.77,88.76,200.0,7,Blue,5,FWD,Power,Discs,Drum,13.3,660000
1420,Kia Sonet 1.5 HTX,2021,Diesel,5000,1493,First ,Manual,24.1,98.63,240.0,5,Grey,6,FWD,Electric,Discs,Drum,19.0,1399000
1421,Maruti Omni E MPI,2013,Petrol,52189,796,First ,Manual,16.8,34.2,59.0,8,Silver,4,RWD,Manual,Discs,Drum,20.0,241000
1422,Tata Tiago 1.2 Revotron,2018,Petrol,39000,1199,First ,Manual,23.84,84.0,114.0,5,Silver,5,FWD,Power,Discs,Drum,14.3,525000
1423,Renault KWID RXT,2016,Petrol,59475,799,First ,Manual,25.17,53.3,72.0,5,Silver,5,FWD,Power,Discs,Drum,16.0,316000
1424,Maruti Swift Dzire VXi,2008,Petrol,71198,1298,First ,Manual,17.5,85.8,114.0,5,Red,5,2WD,Power,Ventilated Disc,Drum,19.0,351000
1425,Maruti Wagon R Duo,2008,LPG,89608,998,First ,Manual,26.2,58.2,77.0,5,Red,5,FWD,Power,Ventilated Disc,Drum,19.0,235000
1426,Maruti Ertiga ZDI,2013,Diesel,155204,1248,First ,Manual,20.77,88.8,200.0,7,Grey,5,FWD,Power,Discs,Drum,13.3,747000
1427,Maruti Alto K10 2010-2014,2010,Petrol,39292,998,First ,Manual,20.92,67.1,90.0,5,Silver,5,FWD,Power,Ventilated Disc,Drum,13.3,250000
1428,Volvo S60 T6 Summum,2011,Petrol,78000,3200,First ,Automatic,9.8,303.7,440.0,5,White,6,AWD,Power,Ventilated Disc,Discs,6.5,1150000
1429,Maruti Swift Ldi BSIII,2009,Diesel,66636,1248,First ,Manual,17.8,75.0,190.0,5,Grey,5,FWD,Power,Ventilated Disc,Drum,13.75,320000
1430,Hyundai i20 1.2 Sportz,2011,Petrol,51000,1197,Test Drive Car,Manual,17.0,80.0,11.4,5,Silver,5,FWD,Power,Discs,Drum,12.96,330000
1431,Chevrolet Spark 1.0 LS,2008,Petrol,59000,995,First ,Manual,18.0,62.0,90.3,5,Grey,5,FWD,Power,Discs,Drum,14.8,160000
1432,Hyundai i10 Magna 1.1,2008,Petrol,45000,1086,First ,Manual,19.81,68.05,99.04,5,White,5,FWD,Power,Ventilated Disc,Drum,14.3,250000
1433,Porsche Cayenne Diesel Platinum,2017,Diesel,40000,2967,First ,Automatic,13.5,240.0,550.0,5,White,8,AWD,Power,Discs,Discs,7.8,7500000
1434,Toyota Innova 2.5 G4,2008,Diesel,236000,2494,First ,Manual,12.8,102.0,20.4,8,Red,5,FWD,Power,Ventilated Disc,Drum,17.5,550000
1435,Mahindra Quanto C8,2014,Diesel,134000,1493,First ,Manual,17.21,100.0,240.0,7,White,5,RWD,Power,Discs,Drum,14.0,399000
1436,Mercedes-Benz C-Class 200 Kompressor,2007,Petrol,81000,1796,First ,Manual,11.7,178.0,24.5,5,White,6,RWD,Power,Ventilated Disc,Discs,8.8,550000
1437,Honda City 1.5 V,2011,Petrol,72000,1497,First ,Manual,17.0,118.0,146.0,5,Red,5,FWD,Power,Discs,Drum,19.0,465000
1438,Volvo S60 D5 Summum,2012,Diesel,83000,2400,First ,Automatic,13.2,215.0,440.0,5,White,6,AWD,Power,Ventilated Disc,Discs,7.7,990000
1439,BMW X1 xDrive 20d,2019,Diesel,14000,1995,First ,Automatic,20.68,188.0,400.0,5,White,8,AWD,Power,Discs,Discs,7.6,3800000
1440,Mercedes-Benz E-Class E250 CDI,2014,Diesel,32000,2143,First ,Automatic,14.21,203.0,500.0,5,Black,5,RWD,Power,Ventilated Disc,Discs,7.5,2400000
1441,Maruti Celerio VXI AT,2015,Petrol,45000,998,First ,Automatic,23.1,67.04,90.0,5,White,5,FWD,Power,Ventilated Disc,Drum,15.05,455000
1442,Datsun GO T BSIV,2014,Petrol,61000,1198,First ,Manual,20.63,67.0,104.0,5,Silver,5,FWD,Power,Discs,Drum,13.3,310000
1443,Mercedes-Benz CLS 250 CDI,2016,Diesel,12000,2143,First ,Automatic,19.4,204.0,500.0,4,Blue,7,RWD,Power,Discs,Discs,7.5,4800000
1444,Volkswagen Polo 2015-2019 1.5,2016,Diesel,68000,1498,First ,Manual,20.14,88.0,230.0,5,White,5,FWD,Power,Discs,Drum,16.1,599000
1445,Mercedes-Benz C-Class C 250,2012,Diesel,65000,2143,First ,Automatic,19.71,201.15,500.0,5,White,9,RWD,Power,Discs,Discs,6.6,1600000
1446,Jaguar XF 2.2 Litre,2014,Diesel,63000,2179,First ,Automatic,16.36,187.7,450.0,5,Blue,8,RWD,Power,Discs,Discs,8.5,2450000
1447,Honda City i DTEC,2014,Diesel,76370,1498,First ,Manual,25.1,98.6,200.0,5,Green,6,FWD,Power,Discs,Drum,10.0,680000
1448,Audi Q7 2006-2020 4.2,2010,Diesel,130000,4134,First ,Automatic,11.33,335.2,800.0,7,White,8,AWD,Power,Ventilated Disc,Discs,6.4,1898999
1449,Jaguar XJ 3.0L Premium,2012,Diesel,49000,2993,First ,Automatic,12.9,270.88,600.0,5,White,8,AWD,Power,Discs,Discs,6.4,2300000
1450,Audi A6 35 TDI,2015,Diesel,67000,1968,First ,Automatic,17.68,174.33,380.0,5,White,8,FWD,Power,Ventilated Disc,Discs,8.2,2650000
1451,Ford Figo Diesel EXI,2010,Diesel,81168,1399,First ,Manual,20.0,68.05,160.0,5,Black,5,FWD,Power,Ventilated Disc,Drum,19.0,264000
1452,Honda Amaze S i-Dtech,2014,Diesel,116000,1498,Test Drive Car,Manual,25.8,98.6,200.0,5,Silver,5,FWD,Power,Discs,Drum,17.0,420000
1453,Honda City E,2013,Petrol,72000,1497,First ,Manual,16.8,116.3,146.0,5,Silver,5,FWD,Power,Discs,Drum,19.0,499000
1454,Land Rover Freelander 2,2013,Diesel,50000,2179,First ,Automatic,12.35,187.74,420.0,5,Blue,6,AWD,Power,Discs,Discs,9.5,2200000
1455,Ford EcoSport 1.5 Diesel,2015,Diesel,92620,1498,First ,Manual,21.7,98.96,215.0,5,White,5,FWD,Electric,Ventilated Disc,Drum,19.0,595000
1456,Skoda Laura 1.8 TSI,2009,Petrol,80000,1798,First ,Manual,13.4,157.8,250.0,5,Black,6,FWD,Power,Discs,Discs,9.7,425000
1457,Renault KWID 1.0 RXT,2018,Petrol,54423,999,First ,Manual,23.01,67.0,91.0,5,Red,5,FWD,Power,Discs,Drum,13.9,432000
1458,Maruti Swift Dzire VDI,2017,Diesel,69540,1248,First ,Manual,26.59,74.0,190.0,5,Maroon,5,FWD,Power,Ventilated Disc,Drum,13.8,749000
1459,Volkswagen Passat Diesel Comfortline,2011,Diesel,105000,1968,First ,Automatic,14.3,167.7,350.0,5,Brown,6,FWD,Power,Discs,Discs,11.5,1324000
1460,Mahindra XUV500 W9 1.99,2018,Diesel,107000,1997,First ,Manual,16.0,140.0,320.0,7,Maroon,6,FWD,Power,Discs,Discs,10.0,249000
1461,Hyundai Santro AT,2007,Petrol,76000,999,First ,Automatic,0.0,0.0,5.0,5,Silver,5,FWD,Power,Discs,Disc & Drum,19.0,398000
1462,Honda CR-V 2.4 AT,2007,Petrol,176000,2354,First ,Automatic,10.1,152.0,215.0,5,White,5,AWD,Power,Ventilated Disc,Disc & Drum,11.2,1198000
1463,Audi A4 New 2.0,2011,Diesel,130000,1968,First ,Automatic,15.2,140.8,320.0,5,Brown,6,FWD,Power,Ventilated Disc,Discs,9.1,2149000
1464,Mini Cooper 3 DOOR,2015,Diesel,48000,1496,First ,Automatic,20.7,113.98,270.0,4,Blue,6,2WD,Power,Discs,Discs,9.2,449000
1465,Toyota Corolla Altis G,2011,Petrol,66000,1798,First ,Manual,14.53,138.1,173.0,5,White,6,FWD,Power,Ventilated Disc,Discs,10.42,224000
1466,Mercedes-Benz C-Class C 180,2002,Petrol,135000,5,First ,Manual,0.0,0.0,5.0,5,Blue,5,FWD,Power,Discs,Disc & Drum,19.0,224000
1467,Mercedes-Benz C-Class C 180,2002,Petrol,135000,5,First ,Manual,0.0,0.0,5.0,5,Blue,5,FWD,Power,Discs,Disc & Drum,19.0,675000
1468,Renault Triber RXL EASY-R,2020,Petrol,10951,999,First ,Automatic,18.2,71.0,96.0,7,Red,5,FWD,Electric,Discs,Drum,19.0,425000
1469,Skoda Laura 1.8 TSI,2009,Petrol,80000,1798,First ,Manual,13.4,157.8,250.0,5,Black,6,FWD,Power,Discs,Discs,9.7,398000
1470,Honda CR-V 2.4 AT,2007,Petrol,176000,2354,First ,Automatic,10.1,152.0,215.0,5,White,5,AWD,Power,Ventilated Disc,Disc & Drum,11.2,1198000
1471,Audi A4 New 2.0,2011,Diesel,130000,1968,First ,Automatic,15.2,140.8,320.0,5,Brown,6,FWD,Power,Ventilated Disc,Discs,9.1,685000
1472,Maruti Swift Dzire VDI,2017,Diesel,69540,1248,First ,Manual,26.59,74.0,190.0,5,Maroon,5,FWD,Power,Ventilated Disc,Drum,13.8,575000
1473,Toyota Etios Cross 1.4L,2014,Diesel,75000,1364,First ,Manual,23.59,67.06,170.0,5,Grey,5,FWD,Power,Ventilated Disc,Drum,12.0,310000
1474,Maruti Alto 800 LXI,2015,Petrol,75000,796,First ,Manual,22.74,47.3,69.0,5,Blue,5,FWD,Power,Solid Disc,Drum,19.0,399000
1475,Mahindra Quanto C8,2014,Diesel,147000,1493,First ,Manual,17.21,100.0,240.0,7,White,5,RWD,Power,Discs,Drum,14.0,550000
1476,Maruti Swift Dzire VXI,2014,Petrol,65000,1197,First ,Manual,19.1,85.8,114.0,5,Grey,5,FWD,Power,Ventilated Disc,Drum,12.6,660000
1477,Maruti Ertiga VDI,2014,Diesel,84000,1248,Test Drive Car,Manual,20.77,88.76,200.0,7,Blue,5,FWD,Power,Discs,Drum,13.3,350000
1478,Hyundai i10 Sportz,2012,Petrol,45000,1197,First ,Manual,20.36,78.9,111.8,5,Silver,5,FWD,Power,Ventilated Disc,Drum,19.0,499000
1479,Hyundai Verna 1.6 SX,2013,Diesel,108000,1582,First ,Manual,22.32,126.32,259.8,5,White,6,FWD,Power,Discs,Discs,10.62,1250000
1480,Skoda Octavia Elegance 2.0,2015,Diesel,94000,1968,First ,Automatic,19.3,141.0,320.0,5,White,6,FWD,Power,Discs,Discs,9.35,525000
1481,Honda CR-V 2.4 AT,2007,Petrol,96000,2354,First ,Automatic,10.1,152.0,215.0,5,White,5,AWD,Power,Ventilated Disc,Disc & Drum,11.2,320000
1482,Hyundai i10 Magna,2011,Petrol,69016,1197,First ,Manual,20.36,78.9,111.7,5,Golden,5,FWD,Power,Ventilated Disc,Drum,19.0,3300000
1483,BMW X3 xDrive 20d,2017,Diesel,65000,1995,First ,Automatic,18.56,187.7,400.0,5,White,8,AWD,Power,Discs,Discs,8.0,5600000
1484,Jaguar XJ 3.0L Portfolio,2016,Diesel,30000,2993,First ,Automatic,10.5,271.23,600.0,4,Blue,8,FWD,Power,Discs,Discs,6.4,600000
1485,Nissan Terrano XV Premium,2014,Diesel,143000,1461,First ,Manual,19.01,108.5,248.0,5,White,6,FWD,Power,Discs,Drum,19.0,385000
1486,Honda Brio VX,2013,Petrol,56000,1198,First ,Manual,19.4,86.8,109.0,5,Grey,5,FWD,Power,Discs,Drum,14.5,235000
1487,Maruti Alto LXi,2012,Petrol,48806,796,First ,Manual,19.7,46.3,62.0,5,Silver,5,FWD,Power,Discs,Drum,17.7,490000
1488,Volkswagen Jetta 1.6 Trendline,2010,Petrol,90000,1595,First ,Manual,14.0,102.0,15.0,5,Blue,5,FWD,Power,Discs,Disc & Drum,11.9,390000
1489,Maruti Ritz LDi,2016,Diesel,78296,1248,First ,Manual,21.1,73.9,190.0,5,White,5,FWD,Power,Ventilated Disc,Drum,14.2,725000
1490,Maruti Swift ZDI Plus,2018,Diesel,90432,1248,First ,Manual,28.4,74.0,190.0,5,White,5,FWD,Power,Discs,Drum,12.38,245000
1491,Hyundai i10 Era,2008,Petrol,45000,1086,First ,Manual,19.81,68.05,99.04,5,Red,5,FWD,Power,Ventilated Disc,Drum,14.3,650000
1492,Skoda Superb Elegance 2.0,2011,Diesel,75000,1968,First ,Automatic,17.2,138.1,320.0,5,Maroon,6,FWD,Power,Discs,Discs,19.0,699000
1493,Hyundai i20 1.4 Sportz,2018,Diesel,95000,1396,First ,Manual,22.54,88.73,219.7,5,Blue,6,FWD,Power,Discs,Drum,11.9,589000
1494,Ford Aspire 1.2 Ti-VCT,2017,Petrol,48676,1196,First ,Manual,18.16,86.8,112.0,5,White,5,FWD,Power,Ventilated Disc,Drum,15.7,1750000
1495,Audi A4 2.0 TDI,2014,Diesel,69000,1968,First ,Automatic,17.11,174.33,380.0,5,White,8,FWD,Power,Ventilated Disc,Discs,7.9,695000
1496,Maruti Swift Dzire VDi,2016,Diesel,25000,1248,First ,Manual,19.3,73.9,190.0,5,White,5,2WD,Power,Ventilated Disc,Drum,19.0,140000
1497,Ford Fiesta 1.6 ZXi,2006,Petrol,90000,1596,Second ,Manual,15.3,101.0,14.9,5,Golden,5,FWD,Power,Ventilated Disc,Drum,11.7,450000
1498,Volvo XC60 D4 Momentum,2018,Diesel,50000,1984,First ,Automatic,14.7,181.0,400.0,5,White,8,FWD,Power,Discs,Discs,19.0,4900000
1499,Maruti Vitara Brezza ZDi,2018,Diesel,49000,1248,First ,Automatic,24.3,88.5,200.0,5,Grey,5,FWD,Power,Ventilated Disc,Drum,12.36,1049000
1500,Tata Nano Twist XT,2014,Petrol,40000,624,First ,Manual,25.4,37.5,51.0,4,Red,4,RWD,Power,Multilateral Disc,Drum,12.6,195000
1501,BMW X3 2.5si,2008,Petrol,131000,2497,First ,Automatic,11.5,218.0,25.5,5,White,6,AWD,Power,Discs,Discs,8.5,798000
1502,Hyundai Grand i10 CRDi,2014,Diesel,61398,1120,First ,Manual,24.0,70.0,160.0,5,Blue,5,FWD,Power,Discs,Drum,15.6,465000
1503,Toyota Fortuner 3.0 Diesel,2011,Diesel,136000,2982,First ,Manual,11.5,171.0,343.0,7,White,5,AWD,Power,Ventilated Disc,Drum,9.6,1249000
1504,Maruti Swift AMT VDI,2018,Diesel,64000,1248,First ,Automatic,28.4,74.0,190.0,5,Blue,5,FWD,Power,Discs,Drum,14.06,734000
1505,Maruti Celerio 2017-2021 ZXI,2018,Petrol,57000,998,First ,Automatic,23.1,67.04,90.0,5,Grey,5,FWD,Power,Ventilated Disc,Drum,15.05,509000
1506,Ford Figo Diesel Titanium,2014,Diesel,46508,1399,First ,Manual,20.0,68.05,160.0,5,Red,5,FWD,Power,Ventilated Disc,Drum,19.0,488999
1507,Hyundai i10 Sportz AT,2012,Petrol,57001,1197,First ,Automatic,16.95,78.9,111.8,5,White,4,FWD,Power,Ventilated Disc,Drum,19.0,399000
1508,Maruti Alto 800 LXI,2019,Petrol,50259,796,First ,Manual,24.7,47.3,69.0,5,Grey,5,FWD,Power,Solid Disc,Drum,19.0,397000
1509,Maruti Vitara Brezza VDi,2016,Diesel,89208,1248,First ,Manual,24.3,88.5,200.0,5,Grey,5,FWD,Power,Ventilated Disc,Drum,12.36,822000
1510,Ford Figo Diesel Titanium,2014,Diesel,46508,1399,First ,Manual,20.0,68.05,160.0,5,Red,5,FWD,Power,Ventilated Disc,Drum,19.0,488999
1511,Maruti A Star Vxi,2009,Petrol,82175,998,First ,Manual,19.0,66.1,90.0,5,Silver,5,FWD,Power,Ventilated Disc,Drum,19.0,227000
1512,Hyundai i10 Sportz AT,2012,Petrol,57001,1197,First ,Automatic,16.95,78.9,111.8,5,White,4,FWD,Power,Ventilated Disc,Drum,19.0,399000
1513,Maruti Swift Dzire VXI,2008,Petrol,89000,1197,First ,Manual,19.1,85.8,114.0,5,Golden,5,FWD,Power,Ventilated Disc,Drum,12.6,330000
1514,Tata Nano Twist XT,2014,Petrol,75695,624,First ,Manual,25.4,37.5,51.0,4,Red,4,RWD,Power,Multilateral Disc,Drum,12.6,165000
1515,Mercedes-Benz E-Class E250 Edition,2014,Diesel,69000,2143,First ,Automatic,15.0,204.0,500.0,5,Black,7,RWD,Power,Ventilated Disc,Discs,7.5,2100000
1516,Maruti Swift VDI BSIV,2018,Diesel,25000,1248,First ,Manual,25.2,74.0,190.0,5,Blue,5,FWD,Power,Ventilated Disc,Drum,14.8,750000
1517,Jaguar XF 2.2 Litre,2013,Diesel,78000,2179,First ,Automatic,16.36,187.7,450.0,5,White,8,RWD,Power,Discs,Discs,8.5,2600000
1518,Hyundai i20 1.2 Era,2011,Petrol,600000,1197,First ,Manual,18.6,81.83,114.7,5,Yellow,5,FWD,Power,Discs,Drum,13.2,720000
1519,Maruti SX4 S Cross,2017,Diesel,60000,1248,First ,Manual,23.65,88.5,200.0,5,Blue,5,FWD,Power,Ventilated Disc,Discs,12.0,899000
1520,Chevrolet Beat Diesel,2013,Diesel,95000,936,First ,Manual,25.44,57.6,150.0,5,White,5,FWD,Power,Discs,Drum,19.0,229999
1521,Hyundai Verna 1.6 SX,2012,Diesel,114323,1582,First ,Automatic,22.32,126.32,259.8,5,White,4,FWD,Power,Discs,Discs,10.62,650000
1522,Hyundai Xcent 1.2 CRDi,2018,Diesel,19541,1186,Second ,Manual,25.4,73.97,190.25,5,Red,5,FWD,Power,Discs,Drum,19.0,610000
1523,Volvo S60 D4 SUMMUM,2014,Diesel,67000,1984,First ,Automatic,9.0,181.0,400.0,5,Red,8,FWD,Power,Discs,Discs,9.2,1450000
1524,Audi A5 Sportback,2019,Diesel,9000,1968,First ,Automatic,19.2,187.74,400.0,5,Maroon,7,FWD,Power,Discs,Discs,7.9,5400000
1525,BMW X5 xDrive 30d,2016,Diesel,26000,2993,First ,Automatic,15.97,258.0,560.0,5,White,8,AWD,Power,Ventilated Disc,Discs,6.9,5500000
1526,Hyundai i20 1.2 Spotz,2017,Petrol,46640,1197,First ,Manual,18.6,81.83,114.7,5,Grey,5,FWD,Power,Discs,Drum,13.2,747000
1527,Maruti Alto K10 2010-2014,2012,Petrol,55230,998,First ,Manual,20.92,67.1,90.0,5,Silver,5,FWD,Power,Ventilated Disc,Drum,13.3,274000
1528,Hyundai i10 Asta,2013,Petrol,72000,1197,First ,Manual,20.36,78.9,111.8,5,Red,5,FWD,Power,Ventilated Disc,Drum,19.0,385000
1529,Honda City V AT,2011,Petrol,51000,1497,First ,Automatic,15.6,116.3,146.0,5,Brown,5,FWD,Power,Discs,Drum,19.0,575000
1530,Skoda Octavia Ambiente 1.9,2007,Diesel,302000,1896,First ,Manual,18.7,66.0,210.0,5,Grey,5,FWD,Power,Discs,Drum,13.5,245000
1531,Hyundai i10 Asta 1.2,2010,Petrol,72392,1197,First ,Manual,20.36,78.9,111.8,5,Red,5,FWD,Power,Ventilated Disc,Drum,19.0,330000
1532,Maruti Alto K10 2010-2014,2011,Petrol,34000,998,First ,Manual,20.92,67.1,90.0,5,Golden,5,FWD,Power,Ventilated Disc,Drum,13.3,260000
1533,BMW X5 xDrive 30d,2015,Diesel,69000,2993,First ,Automatic,15.97,258.0,560.0,5,White,8,AWD,Power,Ventilated Disc,Discs,6.9,3200000
1534,Audi TT 45 TFSI,2017,Petrol,4000,1984,First ,Automatic,14.33,226.6,370.0,4,White,6,AWD,Power,Ventilated Disc,Discs,5.3,5700000
1535,BMW X3 xDrive 20d,2018,Diesel,45000,1995,First ,Automatic,16.55,187.7,400.0,5,White,8,AWD,Power,Discs,Discs,8.0,4900000
1536,Maruti Baleno Sigma 1.2,2019,Petrol,10000,1197,First ,Manual,21.4,83.1,115.0,5,Grey,5,FWD,Power,Discs,Drum,12.36,656000
1537,Mercedes-Benz C-Class Prime C,2019,Diesel,59000,1950,First ,Automatic,12.6,194.0,400.0,5,White,9,RWD,Power,Discs,Discs,6.9,3350000
1538,Hyundai i20 1.4 CRDi,2011,Diesel,88209,1396,First ,Manual,23.0,90.0,22.4,5,Silver,6,FWD,Power,Discs,Drum,12.96,365000
1539,Maruti Alto 800 LXI,2019,Petrol,50259,796,First ,Manual,24.7,47.3,69.0,5,Grey,5,FWD,Power,Solid Disc,Drum,19.0,375000
1540,Ford Ikon 1.6 SXi,2004,Petrol,90000,1597,Second ,Manual,14.2,92.0,130.0,5,White,5,FWD,Power,Ventilated Disc,Drum,14.5,110000
1541,Toyota Yaris G CVT,2018,Petrol,23000,1496,First ,Automatic,17.8,105.5,140.0,5,White,7,FWD,Power,Discs,Drum,19.0,1050000
1542,Mahindra Bolero Power Plus,2016,Diesel,68000,1493,First ,Manual,16.5,70.0,195.0,7,White,5,RWD,Power,Discs,Drum,30.3,690000
1543,Honda Amaze 2016-2021 S,2017,Diesel,84340,1498,First ,Manual,25.8,98.6,200.0,5,Maroon,5,FWD,Power,Discs,Drum,17.0,550000
1544,Maruti Swift Dzire VDi,2017,Diesel,83936,1248,First ,Manual,19.3,73.9,190.0,5,Silver,5,2WD,Power,Ventilated Disc,Drum,19.0,700000
1545,BMW 6 Series GT,2018,Diesel,13500,2993,First ,Automatic,17.09,261.4,620.0,4,White,8,FWD,Power,Discs,Discs,6.1,6200000
1546,Maruti A Star Lxi,2011,Petrol,60101,998,Test Drive Car,Manual,19.0,66.1,90.0,5,White,5,FWD,Power,Ventilated Disc,Drum,19.0,225000
1547,Hyundai Creta 1.6 CRDi,2017,Diesel,86628,1582,First ,Manual,19.67,126.2,259.9,5,Silver,6,FWD,Power,Discs,Drum,10.5,950000
1548,Skoda Rapid 1.6 MPI,2017,Petrol,80000,1598,First ,Manual,14.3,103.2,153.0,5,Red,5,FWD,Power,Discs,Drum,19.0,825000
1549,Mercedes-Benz C-Class Progressive C,2018,Petrol,13000,1950,First ,Automatic,11.9,201.15,280.0,5,Black,9,RWD,Power,Discs,Discs,7.7,3900000
1550,Hyundai Creta 1.4 E,2017,Diesel,81294,1396,First ,Manual,22.1,88.7,219.7,5,White,6,FWD,Power,Discs,Drum,19.0,950000
1551,Honda City 1.5 V,2009,Petrol,78000,1497,First ,Manual,17.0,118.0,146.0,5,Red,5,FWD,Power,Discs,Drum,19.0,399000
1552,Volvo S60 D3 Summum,2012,Diesel,78900,1985,First ,Automatic,18.5,163.0,400.0,5,Blue,6,AWD,Power,Ventilated Disc,Discs,7.7,1345000
1553,Hyundai Verna 1.6 VTVT,2009,Petrol,91815,1591,First ,Manual,17.01,121.3,154.9,5,Golden,5,FWD,Power,Discs,Discs,19.0,265000
1554,Maruti Wagon R VXI,2014,Petrol,91000,998,First ,Manual,18.9,67.1,90.0,5,Silver,5,FWD,Power,Ventilated Disc,Drum,19.0,385000
1555,Volkswagen Vento 1.5 TDI,2014,Diesel,88000,1498,First ,Manual,22.27,108.6,250.0,5,Silver,5,FWD,Power,Ventilated Disc,Drum,11.07,565000
1556,Maruti Baleno Alpha 1.3,2017,Diesel,62351,1248,First ,Manual,27.39,74.0,190.0,5,Golden,5,FWD,Power,Discs,Drum,12.93,665000
1557,Hyundai i10 Magna LPG,2013,LPG,73000,1086,First ,Manual,19.2,68.05,99.04,5,Golden,5,FWD,Power,Ventilated Disc,Drum,14.3,325000
1558,Ford EcoSport 1.5 DV5,2013,Diesel,100000,1498,First ,Manual,22.7,89.84,204.0,5,Silver,5,FWD,Power,Ventilated Disc,Drum,13.5,595000
1559,Hyundai i20 Diesel Sportz,2017,Diesel,91000,1396,First ,Manual,22.54,88.76,219.66,5,Red,6,FWD,Power,Discs,Drum,13.57,685000
1560,Honda City i-VTEC ZX,2018,Petrol,32450,1497,First ,Manual,17.14,117.6,145.0,5,White,5,FWD,Power,Ventilated Disc,Drum,11.9,1295000
1561,Toyota Innova 2.5 VX,2012,Diesel,131000,2494,First ,Manual,12.99,100.0,200.0,8,Golden,5,FWD,Power,Ventilated Disc,Drum,19.0,925000
1562,Hyundai i20 Asta 1.4,2015,Diesel,57000,1396,First ,Manual,22.54,88.73,219.7,5,White,6,FWD,Power,Discs,Drum,11.9,645000
1563,Hyundai Creta 1.6 CRDi,2016,Diesel,66212,1582,First ,Manual,19.67,126.2,259.9,5,Red,6,FWD,Power,Discs,Drum,10.5,1050000
1564,Ford Figo Diesel Titanium,2013,Diesel,73000,1399,First ,Manual,20.0,68.05,160.0,5,Grey,5,FWD,Power,Ventilated Disc,Drum,19.0,425000
1565,Skoda Rapid 1.5 TDI,2017,Diesel,126300,1498,First ,Automatic,21.72,108.6,250.0,5,Red,7,FWD,Power,Discs,Drum,11.41,795000
1566,Maruti Swift Dzire ZXI,2015,Petrol,62000,1197,First ,Manual,21.21,81.8,113.0,5,White,5,FWD,Power,Discs,Drum,12.6,640000
1567,Hyundai i20 1.2 Sportz,2012,Petrol,23400,1197,First ,Manual,17.0,80.0,11.4,5,Red,5,FWD,Power,Discs,Drum,12.96,495000
1568,Volkswagen Polo 2015-2019 1.5,2018,Diesel,66700,1498,First ,Manual,20.14,88.0,230.0,5,Red,5,FWD,Power,Discs,Drum,16.1,775000
1569,Tata Nexon 1.2 Revotron,2018,Petrol,33000,1198,First ,Manual,17.0,108.5,170.0,5,White,6,FWD,Power,Discs,Drum,11.64,745000
1570,Maruti Ertiga VDI Limited,2012,Diesel,124000,1248,First ,Manual,20.77,88.76,200.0,7,Grey,5,FWD,Power,Discs,Drum,15.0,575000
1571,Maruti Ciaz 1.3 Delta,2018,Diesel,40000,1248,First ,Manual,28.09,88.5,200.0,5,Blue,5,FWD,Power,Ventilated Disc,Drum,15.0,795000
1572,Tata Nexon 1.5 Revotorq,2018,Diesel,37000,1497,First ,Manual,21.5,108.5,260.0,5,Grey,6,FWD,Power,Discs,Drum,13.25,944999
1573,Mercedes-Benz M-Class ML 350,2011,Diesel,82600,2987,First ,Automatic,11.74,254.8,619.0,5,Black,7,AWD,Power,Discs,Discs,7.4,1645000
1574,Volkswagen Polo 1.5 TDI,2015,Diesel,83000,1498,First ,Manual,20.14,88.8,230.0,5,Grey,5,FWD,Power,Discs,Drum,16.1,550000
1575,Maruti Swift Dzire AMT,2017,Diesel,71000,1248,First ,Automatic,28.4,74.02,190.0,5,White,5,FWD,Power,Discs,Drum,19.0,685000
1576,Maruti Baleno Alpha Diesel,2017,Diesel,36000,1248,First ,Manual,27.39,74.0,190.0,5,Blue,5,FWD,Power,Discs,Drum,12.93,765000
1577,Maruti Wagon R VXI,2014,Petrol,91000,998,First ,Manual,21.79,67.05,90.0,5,Silver,5,FWD,Power,Discs,Drum,18.6,385000
1578,Hyundai Verna 1.6 SX,2012,Diesel,110786,1582,First ,Manual,22.32,126.32,259.8,5,White,6,FWD,Power,Discs,Discs,10.62,459999
1579,Hyundai Santro Xing XG,2007,Petrol,73212,1086,First ,Automatic,17.0,0.0,5.0,5,Silver,5,FWD,Power,Discs,Disc & Drum,19.0,220000
1580,Skoda Rapid 1.6 TDI,2012,Diesel,96117,1598,First ,Manual,20.5,103.5,250.0,5,Silver,5,FWD,Power,Discs,Drum,19.0,425000
1581,Audi A4 2.0 TDI,2012,Diesel,50000,1968,First ,Automatic,16.55,140.0,32.6,5,Silver,7,FWD,Power,Ventilated Disc,Drum,9.7,1495000
1582,Maruti Wagon R Pro,2012,Petrol,29000,998,First ,Manual,18.9,67.0,90.0,5,Grey,5,2WD,Power,Ventilated Disc,Drum,19.0,280000
1583,Maruti Celerio VXI AT,2015,Petrol,52000,998,First ,Automatic,23.1,67.04,90.0,5,Grey,5,FWD,Power,Ventilated Disc,Drum,15.05,425000
1584,Maruti Swift Dzire VDI,2017,Diesel,60000,1248,First ,Manual,26.59,74.0,190.0,5,Grey,5,FWD,Power,Ventilated Disc,Drum,13.8,690000
